Detailed Parameter,Simple Parameter,Specific Metric,Reference,General Taxon/Grouping,Heterotroph or Autotroph,Species,Life Stage,Resource General,Resource Species,Resource life stage,Max Temp,Min Temp,Temp Range,Number of Temps Measured,Confident in Temps,Evidence of temperature dependence,Activation energy,Error,Error Metric,Model Used,Single species or multiple,Where to find in paper,Evidence that temp dependence differs between species,Notes,More notes,Their Data or Dataset?
resource growth rate,resource growth rate,,"Bruce et al. (2009). Host acceptance, suitability, and effects of host deprivation on the West African egg parasitoid Telenomus isis (Hymenoptera: Scelionidae) reared on East African stem-borers under varying temperature and relative humidity regimes. Environmental Entomology: 38(3): 904-919.
Activation energy calculated in: Dell et al. (2011) See full reference above",Parasitoid wasp,heterotroph,Telenomus isis,,,,,,,18-32,6,No,Yes,0.87,,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Kuo et al. (2006). Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera: Pemphigidae) on three host plants. Journal of Economic Entomology: 99(4): 1209-1213
Activation energy calculated in: Dell et al. (2011) See full reference above",Aphid,heterotroph,Tetraneura nigriabdominalis,,,,,,,10-30,5,Somewhat,Yes,0.87,,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Weisse et al. (2002). Interactive effect of temperature and food concentration on growth rate: A test case using the small freshwater ciliate Urotricha farcta.Limnology and Oceanography: 47(5): 1447-1455
Activation energy calculated in: Dell et al. (2011). See full reference above",Cilliate,heterotroph,Urotricha farcta,,,,,,,9-24,6,Somewhat,Yes,0.6,,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
K: resource carrying capacity,resource carrying capacity,carrying capacity,"Bernhardt et al. (2018). Metabolic theory and the temperature-size rule explain the
temperature dependence of population carrying capacity. American Naturalist: 192(6): 687-697",Phytoplankton,autotroph,Tetraselmis tetrahele,,,,,,,5-25,4,Yes,Yes,-0.34,0.03,95% CI,Arrhenius,single species,"From Table 1
E=-0.34 (accounting for size change with temp)",,This activation energy accounts for changing body size with temperature,,their data
K: resource carrying capacity,resource carrying capacity,carrying capacity,"Bernhardt et al. (2018). Metabolic theory and the temperature-size rule explain the
temperature dependence of population carrying capacity. American Naturalist: 192(6): 687-697",Phytoplankton,autotroph,Tetraselmis tetrahele,,,,,,,5-25,4,Yes,Yes,-0.22,0.04,95% CI,Arrhenius,single species,"From Table 1
E=-0.22 (without accounting for size change with temp)",,This activation energy does not account for changing body size,,their data
K: resource carrying capacity,resource carrying capacity,maximum population density,"Alto & Juliano (2001). Temperature effects on the dynamics of Aedes albopictus (Diptera: Culicidae) populations in the laboratory. Journal of Medical Entomology: 38(4): 548-556
Activation energy calculated in: Fussmann et al. (2014). Ecological stability in response to warming. Nature Climate Change: 4(3): 206-210",Mosquito,heterotroph,Aedes albopictus,adult,,,,,,22-24,3,Yes,Yes,-1.38,0.36,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"food for larvae was provided only once at the beginning of the experiment and not replaced, so max population density was followed by a decline due to food shortage",,"their data, part of Fussmann et al. (2014) dataset"
K: resource carrying capacity,resource carrying capacity,maximum population density,"Greene & Jezeski (1954). Influence of temperature on the development of several psychrophilic bacteria of dairy
origin. Applied Microbiology: 2(2): 110-117
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Bacteria,heterotroph,Aerobacter aerogenes,,,,,,,0-35,7,Yes,Yes,-0.71,0.18,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"measurements at 10°C were terminated before the end of stationary phase, so the maximum counts at this temp could be underestimates",,"their data, part of Fussmann et al. (2014) dataset"
K: resource carrying capacity,resource carrying capacity,maximum population density,"Greene & Jezeski (1954). Influence of temperature on the development of several psychrophilic bacteria of dairy
origin. Applied Microbiology: 2(2): 110-117
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Bacteria,heterotroph,Pseudomonas sp. strain #92,,,,,,,0-30,6,Yes,Yes,-0.68,0.51,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"measurements at 10°C were terminated before the end of stationary phase, so the maximum counts at this temp could be underestimates","the two Pseudomonas strains may be switched, Fussmann et al. call them 1 and 2, rather than the numbers used here and in the original publication","their data, part of Fussmann et al. (2014) dataset"
K: resource carrying capacity,resource carrying capacity,maximum population density,"Greene & Jezeski (1954). Influence of temperature on the development of several psychrophilic bacteria of dairy
origin. Applied Microbiology: 2(2): 110-117
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Bacteria,heterotroph,Pseudomonas sp. strain #69,,,,,,,0-30,6,Yes,Yes,-0.29,0.25,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"measurements at 10°C were terminated before the end of stationary phase, so the maximum counts at this temp could be underestimates","the two Pseudomonas strains may be switched, Fussmann et al. call them 1 and 2, rather than the numbers used here and in the original publication","their data, part of Fussmann et al. (2014) dataset"
K: resource carrying capacity,resource carrying capacity,maximum population density,"Zanoni et al. (1993). Modeling the growth of Enterococcus faecium in
bologna sausage. Applied and Environmental Microbiology: 59(10): 3411-3417
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Bacteria,heterotroph,Enterococcus faecium,,,,,,,6-50,10,Yes,Yes,-0.9,0.34,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
K: resource carrying capacity,resource carrying capacity,maximum population density,"Zwietering et al. (1991). Modeling of bacterial growth as a function of temperature. Applied and Environmental Microbiology: 57(4): 1094-1101
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Bacteria,heterotroph,Lactobacillus plantarum,,,,,,,21.5-40,9,Yes,Yes,-0.67,0.15,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,I'm not sure exactly where they found the data in the original paper. Maybe they contacted the authors?,,"their data, part of Fussmann et al. (2014) dataset"
m: consumer mortality rate,mortality rate,mortality rate,McCoy & Gillooly (2008). Predicting natural mortality rates of plants and animals. Ecology Letters: 11: 710-716,Invertebrates,heterotroph,Invertebrates,,,,,,,NA,NA,NA,Yes,0.47,0.29,95% CI,Arrhenius,multiple species,"**Dataset overlap: uses Pauly (1980)
From Corrigendum (see notes) Table 1
E=0.47 (invertebrates)
(given as -0.47)",,"A corrigendum was published in 2009 to correct for some misreported data, which altered the estimations of E for fish and invertebrates.",,"dataset:
Built upon the dataset from Pauly (1980)"
m: consumer mortality rate,mortality rate,mortality rate,Bevacqua et al. (2011). Intra-specific scaling of natural mortality in fish: the paradigmatic case of the European eel. Oecologia: 165(2): 333-339,Fish,heterotroph,Anguilla anguilla,,,,,,,8-18 (mean annual temps from multiple studies),7,Yes,Yes,1.22,0.5,90% CI,Arrhenius,single species,"From page 337 text
E=1.2
(1.22- males, 1.24- females (p.336))",,This activation energy is for males,,dataset
m: consumer mortality rate,mortality rate,mortality rate,Bevacqua et al. (2011). Intra-specific scaling of natural mortality in fish: the paradigmatic case of the European eel. Oecologia: 165(2): 333-339,Fish,heterotroph,Anguilla anguilla,,,,,,,8-18 (mean annual temps from multiple studies),6,Yes,Yes,1.24,0.44,90% CI,Arrhenius,single species,"From page 337 text
E=1.2
(1.22- males, 1.24- females (p.336))",,This activation energy is for females,,dataset
m: consumer mortality rate,mortality rate,longevity,"Benider et al. (2002). Growth of Moina macrocopa (Straus 1820) (Crustacea, Cladocera): influence of trophic conditions, population density and temperature. Hydrobiologia: 468(1):1-11
Activation energy calculated in: Dell et al. (2011) See full reference above",Cladocera,heterotroph,Moina macrocopa,adult,Algae,Chlorella sorokiniana,,,,15-30,5,Somewhat,Yes,0.43,,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,"It appears that mortality was either calculated as 1/longevity for each temp, or an arrhenius model was used to determine E of longevity and the sign (+/-) was switched. The methods are equivalent.",,"their data, part of Dell et al. (2011) dataset"
m: consumer mortality rate,mortality rate,mortality rate,"Chen et al. (1995). Effects of temperature upon ablation-to-molt interval and mortality of red swamp crawfish (Procambarus clarkii) subjected to bilateral eyestalk ablation. Aquaculture: 138(1): 191-204
Activation energy calculated in: Dell et al. (2011) See full reference above",Crayfish,heterotroph,Procambarus clarkii,adult,,,,,,15-30,6,Somewhat,Yes,0.68,,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,"The crayfish in this experiment had their eyestalks removed and many died during molting, so these factors could affect the measured mortality rates",,"their data, part of Dell et al. (2011) dataset"
m: consumer mortality rate,mortality rate,mortality rate,"Chen et al. (1995). Effects of temperature upon ablation-to-molt interval and mortality of red swamp crawfish (Procambarus clarkii) subjected to bilateral eyestalk ablation. Aquaculture: 138(1): 191-204
Activation energy calculated in: Dell et al. (2011) See full reference above",Crayfish,heterotroph,Procambarus clarkii,juvenile,,,,,,15-30,6,Somewhat,Yes,0.66,,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,"The crayfish in this experiment had their eyestalks removed and many died during molting, so these factors could affect the measured mortality rates",,"their data, part of Dell et al. (2011) dataset"
m: consumer mortality rate,mortality rate,mortality rate,Valderrama & Fields. (2017). Flawed evidence supporting the Metabolic Theory of Ecology may undermine goals of ecosystem-based fishery management: the case of invasive Indo-Pacific lionfish in the western Atlantic. ICES Journal of Marine Science: 74(5): 1256-1267,Fish,heterotroph,Fish,,,,,,,NA,NA,NA,Yes,0.39,0.08,95% CI,Arrhenius,multiple species,"**Dataset overlap: uses Pault (1980)
From Fig.1a",,They recalculated E from the Pauly (1980) dataset because previous studies using the dataset had failed to account for the alterred temperatures for polar fishes,,"dataset:
Compiled by Pauly (1980)"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Acanthurus bahianus,,,,,,,5.50,,Somewhat,Yes,1.608,,,Arrhenius,single species,From Table S1,,"Typically, one would need to multiply E values for lifespan by -1 to get E for mortality rate (since mortality=1/lifespan). However, the original paper uses e^(E/kT), rather than e^(-E/kT) as the values in this spreadsheet correspond to, so this was not necessary.",,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Acartia californiensis,,,,,,,7.80,,Somewhat,Yes,0.849,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Acartia clausi,,,,,,,10,,Somewhat,Yes,0.611,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Acartia tonsa,,,,,,,18.70,,Somewhat,Yes,0.701,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Aldrichetta forsteri,,,,,,,8,,Somewhat,Yes,0.141,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Toad,heterotroph,Bufo bufo,,,,,,,8.67,,Somewhat,Yes,-0.363,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Toad,heterotroph,Bufo calamita,,,,,,,5.40,,Somewhat,Yes,0.892,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Toad,heterotroph,Bufo hemiophrys,,,,,,,8.38,,Somewhat,Yes,-0.916,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Calanus finmarchicus,,,,,,,16,,Somewhat,Yes,0.92,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Calanus pacificus,,,,,,,9,,Somewhat,Yes,0.932,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average livespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Calanus sinicus,,,,,,,9.90,,Somewhat,Yes,0.658,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Crab,heterotroph,Carcinus maenas,,,,,,,6.83,,Somewhat,Yes,0.559,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Carpiodes carpio,,,,,,,13.73,,Somewhat,Yes,0.52,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Catostomus commersoni,,,,,,,8.5,,Somewhat,Yes,0.911,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Bryozoa,heterotroph,Celleporella bougainvillei,,,,,,,3.7,,Somewhat,Yes,-1.51,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Clupea harengus,,,,,,,11.40,,Somewhat,Yes,-0.66,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Coregonus clupeaformis,,,,,,,19.40,,Somewhat,Yes,-0.279,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Ctenochaetus striatus,,,,,,,4,,Somewhat,Yes,1.056,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Newt,heterotroph,Cynops pyrrhogaster,,,,,,,6.30,,Somewhat,Yes,1.16,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Mussel,heterotroph,Dreissena polymorpha,,,,,,,6.13,,Somewhat,Yes,1.783,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Decapoda,heterotroph,Emerita brasiliensis,,,,,,,6.63,,Somewhat,Yes,0.505,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Esox lucius,,,,,,,21.42,,Somewhat,Yes,0.476,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Krill,heterotroph,Euphausia pacifica,,,,,,,15.50,,Somewhat,Yes,0.384,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Eurytemora herdmani,,,,,,,13,,Somewhat,Yes,0.838,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Gasterosteus aculeatus,,,,,,,15.50,,Somewhat,Yes,1.106,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Ictalurus punctatus,,,,,,,8.58,,Somewhat,Yes,0.486,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Bryozoa,heterotroph,Inversiula nutrix,,,,,,,3.7,,Somewhat,Yes,-1.478,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Lepomis gibbosus,,,,,,,12.18,,Somewhat,Yes,-0.744,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Lepomis macrochirus,,,,,,,13.38,,Somewhat,Yes,0.565,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Clam,heterotroph,Macoma balthica,,,,,,,20,,Somewhat,Yes,0.642,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Macrhybopsis meeki,,,,,,,7.9,,Somewhat,Yes,1.444,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Mussel,heterotroph,Margaritifera margaritifera,,,,,,,24.90,,Somewhat,Yes,0.68,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Krill,heterotroph,Meganyctiphanes norvegica,,,,,,,15,,Somewhat,Yes,0.432,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Micropterus dolomieui,,,,,,,10.38,,Somewhat,Yes,0.779,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Micropterus salmoides,,,,,,,12,,Somewhat,Yes,0.724,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Microstomus pacificus,,,,,,,6.60,,Somewhat,Yes,-0.23,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Morone chrysops,,,,,,,10.13,,Somewhat,Yes,0.61,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Mussel,heterotroph,Mytilus edulis,,,,,,,15.50,,Somewhat,Yes,0.326,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Neocalanus cristatus,,,,,,,2,,Somewhat,Yes,-0.621,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Squid,heterotroph,Nototodarus gouldi,,,,,,,6.40,,Somewhat,Yes,0.825,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Notropis atherinoides,,,,,,,7.90,,Somewhat,Yes,1.091,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Oithona similis,,,,,,,9,,Somewhat,Yes,0.458,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Oncorhynchus clarkii,,,,,,,12.38,,Somewhat,Yes,0.773,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Oncorhynchus keta,,,,,,,20.60,,Somewhat,Yes,0.223,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Oncorhynchus kisutch,,,,,,,14.90,,Somewhat,Yes,0.202,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Oncorhynchus tshawytscha,,,,,,,15,,Somewhat,Yes,0.142,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Perca flavescens,,,,,,,13.33,,Somewhat,Yes,0.827,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Perca fluviatilis,,,,,,,17.40,,Somewhat,Yes,0.524,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Scallop,heterotroph,Placopecten magellanicus,,,,,,,10,,Somewhat,Yes,0.327,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Pomoxis annularis,,,,,,,12.79,,Somewhat,Yes,0.683,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Pomoxis nigromaculatus,,,,,,,15.04,,Somewhat,Yes,-0.509,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Pseudocalanus elongatus,,,,,,,9.60,,Somewhat,Yes,0.76,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Pseudocalanus minutus,,,,,,,8.50,,Somewhat,Yes,0.641,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Frog,heterotroph,Rana sylvatica,,,,,,,17.90,,Somewhat,Yes,0.331,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Frog,heterotroph,Rana temporaria,,,,,,,6.60,,Somewhat,Yes,-1.186,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
